,imdbID,Title,Released,Country,Language,Rated,Runtime,Year,imdbRating,imdbVotes,tomatoConsensus,tomatoFresh,tomatoMeter,tomatoRating,tomatoReviews,tomatoRotten,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,Nominated Oscars,Won Oscars,Other wins,Other nominations,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,N/A,Romance,Sci-Fi,Sport,Thriller,War,Western,wiki_url_new,imdb_link_new,rt_link_new,budget_USD,box_USD,A_mean_age,A_mean_credit,D_mean_age,D_mean_credit,mean_rate
243,tt2935476,Far from the Madding Crowd,2015-05-22 00:00:00,"UK, USA",English,PG-13,119.0,2015,7.1,18852,Far from the Madding Crowd invites tough comparisons to Thomas Hardy's classic novel -- and its previous adaptation -- but stands on its own thanks to strong direction and a talented cast.,128.0,85.0,7.4,150.0,22.0,77.0,3.8,16928.0,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,/wiki/Far_from_the_Madding_Crowd_(2015_film),http://www.imdb.com/title/tt2935476/,http://www.rottentomatoes.com/m/far_from_the_madding_crowd_2014/,,12229314.0,34.8932331955,36.5,46.006844627,19.0,7.35
245,tt2938956,The Transporter Refueled,2015-09-04 00:00:00,"France, China, Belgium",English,PG-13,96.0,2015,4.9,7925,"The Transporter Refueled has little to offer beyond a handful of decent action sequences, leaving this reboot's title feeling more like wishful thinking than a restatement of purpose.",15.0,17.0,3.8,89.0,74.0,32.0,2.7,11894.0,0,0,0,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,/wiki/The_Transporter_Refueled,http://www.imdb.com/title/tt2938956/,http://www.rottentomatoes.com/m/the_transporter_refueled/,,15923127.0,46.8807665982,30.0,35.9206023272,4.0,5.15
247,tt2948840,Life,2015-12-04 00:00:00,"UK, USA, Germany, Canada, Australia",English,R,111.0,2015,6.3,1611,,,,,,,,,,0,0,0,0,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Life_(2015_film),http://www.imdb.com/title/tt2948840/,http://www.rottentomatoes.com/m/life_2014/,,,29.5605749487,25.0,60.5420944559,19.0,6.3
248,tt2967224,Hot Pursuit,2015-05-08 00:00:00,USA,"English, Spanish",PG-13,87.0,2015,5.0,26140,"Shrill and unfunny, Hot Pursuit bungles what should have been an easy opportunity to showcase Reese Witherspoon and Sofia Vergara's likable odd-couple chemistry.",11.0,7.0,3.1,147.0,136.0,36.0,2.8,25378.0,0,0,0,0,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Hot_Pursuit_(2015_film),http://www.imdb.com/title/tt2967224/,http://www.rottentomatoes.com/m/dont_mess_with_texas_2014/,,34507079.0,41.6439549499,51.3333333333,49.0184804928,7.0,5.3
251,tt2974918,Alvin and the Chipmunks: The Road Chip,2015-12-18 00:00:00,USA,English,PG,86.0,2015,,,,,,,,,,,,0,0,0,0,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Alvin_and_the_Chipmunks:_The_Road_Chip,http://www.imdb.com/title/tt2974918/,,,,33.7477739335,54.75,47.2525667351,10.0,
255,tt2978576,Bill,2015-09-18 00:00:00,UK,English,,94.0,2015,6.9,240,,13.0,93.0,6.2,14.0,1.0,,,,0,0,0,0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Bill_(2015_film),http://www.imdb.com/title/tt2978576/,http://www.rottentomatoes.com/m/771404658/,,,34.8309377139,30.0,45.8042436687,5.0,6.9
256,tt3013610,Mia Madre,2016-03-01 00:00:00,"Italy, France","Italian, English",,106.0,2015,7.0,2174,,,,,,,,,,0,0,0,6,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Mia_Madre,http://www.imdb.com/title/tt3013610/,http://www.rottentomatoes.com/m/mia_madre/,,3505053.0,57.0458590007,81.0,62.5325119781,24.0,7.0
258,tt3018070,Stonewall,2015-09-25 00:00:00,USA,English,R,129.0,2015,3.0,678,,,,,,,,,,0,0,0,0,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,/wiki/Stonewall_(2015_film),http://www.imdb.com/title/tt3018070/,http://www.rottentomatoes.com/m/stonewall_2015/,,186354.0,18.4279167972,29.5,59.8740588638,21.0,3.0
260,tt3045616,Mortdecai,2015-01-23 00:00:00,"UK, USA",English,R,107.0,2015,5.5,36146,"Aggressively strange and willfully unfunny, the misguided Mortdecai sounds a frightfully low note in Johnny Depp's post-Pirates filmography.",11.0,12.0,3.4,90.0,79.0,30.0,2.6,24746.0,0,0,0,0,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,/wiki/Mortdecai_(film),http://www.imdb.com/title/tt3045616/,,,7605668.0,46.4098784992,65.6666666667,51.6249144422,9.0,5.35
263,tt3076658,Creed,2015-11-25 00:00:00,USA,English,PG-13,133.0,2015,8.7,12419,,,,,,,,,,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,/wiki/Creed_(film),http://www.imdb.com/title/tt3076658/,http://www.rottentomatoes.com/m/creed_2015/,,,50.4254251193,47.0,29.5085557837,6.0,8.7
