imdbID,Title,Released,Awards,Director,Actors,Country,Language,Rated,Runtime,Year,Metascore,imdbRating,imdbVotes,tomatoConsensus,tomatoFresh,tomatoMeter,tomatoRating,tomatoReviews,tomatoRotten,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,Nominated Oscars,Won Oscars,Other wins,Other nominations,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,N/A,Romance,Sci-Fi,Sport,Thriller,War,Western
tt1167611,Don't Be Bad,2015-09-08 00:00:00,8 wins.,Claudio Caligari,Alessandro Borghi,Italy,Italian,N/A,100.0,2015,N/A,7.3,285,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1167611,Don't Be Bad,2015-09-08 00:00:00,8 wins.,Claudio Caligari,Roberta Mattei,Italy,Italian,N/A,100.0,2015,N/A,7.3,285,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1167611,Don't Be Bad,2015-09-08 00:00:00,8 wins.,Claudio Caligari,Silvia D'Amico,Italy,Italian,N/A,100.0,2015,N/A,7.3,285,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1178665,A Walk in the Woods,2015-09-02 00:00:00,N/A,Ken Kwapis,Nick Nolte,USA,English,R,104.0,2015,51,6.5,"3,392","Amiable yet less compelling than any road trip movie starring Robert Redford and Nick Nolte should be, A Walk in the Woods is ultimately a bit too pedestrian.",62,44,5.4,140,78,56,3.4,10027,0,0,0,0,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1178665,A Walk in the Woods,2015-09-02 00:00:00,N/A,Ken Kwapis,Emma Thompson,USA,English,R,104.0,2015,51,6.5,"3,392","Amiable yet less compelling than any road trip movie starring Robert Redford and Nick Nolte should be, A Walk in the Woods is ultimately a bit too pedestrian.",62,44,5.4,140,78,56,3.4,10027,0,0,0,0,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1178665,A Walk in the Woods,2015-09-02 00:00:00,N/A,Ken Kwapis,Robert Redford,USA,English,R,104.0,2015,51,6.5,"3,392","Amiable yet less compelling than any road trip movie starring Robert Redford and Nick Nolte should be, A Walk in the Woods is ultimately a bit too pedestrian.",62,44,5.4,140,78,56,3.4,10027,0,0,0,0,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1178665,A Walk in the Woods,2015-09-02 00:00:00,N/A,Ken Kwapis,Mary Steenburgen,USA,English,R,104.0,2015,51,6.5,"3,392","Amiable yet less compelling than any road trip movie starring Robert Redford and Nick Nolte should be, A Walk in the Woods is ultimately a bit too pedestrian.",62,44,5.4,140,78,56,3.4,10027,0,0,0,0,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1243974,Aloha,2015-05-29 00:00:00,3 nominations.,Cameron Crowe,Emma Stone,USA,English,PG-13,105.0,2015,40,5.5,"26,271","Meandering and insubstantial, Aloha finds writer-director Cameron Crowe at his most sentimental and least compelling.",26,19,4.3,139,113,30,2.6,28683,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
tt1243974,Aloha,2015-05-29 00:00:00,3 nominations.,Cameron Crowe,Bradley Cooper,USA,English,PG-13,105.0,2015,40,5.5,"26,271","Meandering and insubstantial, Aloha finds writer-director Cameron Crowe at his most sentimental and least compelling.",26,19,4.3,139,113,30,2.6,28683,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
tt1243974,Aloha,2015-05-29 00:00:00,3 nominations.,Cameron Crowe,Bill Murray,USA,English,PG-13,105.0,2015,40,5.5,"26,271","Meandering and insubstantial, Aloha finds writer-director Cameron Crowe at his most sentimental and least compelling.",26,19,4.3,139,113,30,2.6,28683,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
tt1243974,Aloha,2015-05-29 00:00:00,3 nominations.,Cameron Crowe,Rachel McAdams,USA,English,PG-13,105.0,2015,40,5.5,"26,271","Meandering and insubstantial, Aloha finds writer-director Cameron Crowe at his most sentimental and least compelling.",26,19,4.3,139,113,30,2.6,28683,0,0,0,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
tt1322393,Faith of Our Fathers,2015-07-01 00:00:00,1 win.,Carey Scott,David A.R. White,USA,English,PG-13,96.0,2015,20,2.8,339,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1322393,Faith of Our Fathers,2015-07-01 00:00:00,1 win.,Carey Scott,Kevin Downes,USA,English,PG-13,96.0,2015,20,2.8,339,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1322393,Faith of Our Fathers,2015-07-01 00:00:00,1 win.,Carey Scott,Candace Cameron Bure,USA,English,PG-13,96.0,2015,20,2.8,339,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1322393,Faith of Our Fathers,2015-07-01 00:00:00,1 win.,Carey Scott,Stephen Baldwin,USA,English,PG-13,96.0,2015,20,2.8,339,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
tt1340138,Terminator Genisys,2015-07-01 00:00:00,2 nominations.,Alan Taylor,Emilia Clarke,USA,English,PG-13,126.0,2015,38,6.7,"136,706","Mired in its muddled mythology, Terminator: Genisys is a lurching retread that lacks the thematic depth, conceptual intelligence, or visual thrills that launched this once-mighty franchise.",55,25,4.7,217,162,58,3.4,78290,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
tt1340138,Terminator Genisys,2015-07-01 00:00:00,2 nominations.,Alan Taylor,Jason Clarke,USA,English,PG-13,126.0,2015,38,6.7,"136,706","Mired in its muddled mythology, Terminator: Genisys is a lurching retread that lacks the thematic depth, conceptual intelligence, or visual thrills that launched this once-mighty franchise.",55,25,4.7,217,162,58,3.4,78290,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
tt1340138,Terminator Genisys,2015-07-01 00:00:00,2 nominations.,Alan Taylor,Arnold Schwarzenegger,USA,English,PG-13,126.0,2015,38,6.7,"136,706","Mired in its muddled mythology, Terminator: Genisys is a lurching retread that lacks the thematic depth, conceptual intelligence, or visual thrills that launched this once-mighty franchise.",55,25,4.7,217,162,58,3.4,78290,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
tt1340138,Terminator Genisys,2015-07-01 00:00:00,2 nominations.,Alan Taylor,Jai Courtney,USA,English,PG-13,126.0,2015,38,6.7,"136,706","Mired in its muddled mythology, Terminator: Genisys is a lurching retread that lacks the thematic depth, conceptual intelligence, or visual thrills that launched this once-mighty franchise.",55,25,4.7,217,162,58,3.4,78290,0,0,0,0,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
tt1355683,Black Mass,2015-09-18 00:00:00,2 wins.,Scott Cooper,Benedict Cumberbatch,"USA, UK",English,R,122.0,2015,68,7.2,"46,099",Black Mass spins a gripping yarn out of its fact-based story -- and leaves audiences with one of Johnny Depp's most compelling performances in years.,171,75,6.6,229,58,73,3.7,44682,0,0,0,0,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
