,imdbID,Title,Released,Director,Actors,Country,Language,Rated,Runtime,Year,imdbRating,imdbVotes,tomatoConsensus,tomatoFresh,tomatoMeter,tomatoRating,tomatoReviews,tomatoRotten,tomatoUserMeter,tomatoUserRating,tomatoUserReviews,Nominated Oscars,Won Oscars,Othter wins,Othter nominations,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,bp_n,bp_w,fl_n,fl_w,fs_n,fs_w,ml_n,ml_w,ms_n,ms_w,movie_url,imdb_link,rt_link,budget_USD,box_USD,A_mean_age,A_mean_credit,D_mean_age,D_mean_credit,mean_rate,Anominated,Awon,Dnominated,Dwon
31,tt0019959,Hallelujah,1929-08-20 00:00:00,King Vidor,Nina Mae McKinney,USA,English,PASSED,109.0,1929,7.0,1063,,,,,,,57.0,3.2,886.0,1,0,2,0,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,/wiki/Hallelujah!_(1929_film),http://www.imdb.com/title/tt0019959/,,,69308274.8538,17.1882272416,24.0,35.5263518138,79.0,6.7,0,0,5,0
32,tt0019993,The Hollywood Revue of 1929,1929-11-23 00:00:00,Charles Reisner,John Gilbert,USA,English,,130.0,1929,7.7,1431,,2.0,40.0,5.4,5.0,3.0,16.0,2.9,204.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,/wiki/The_Hollywood_Revue_of_1929,http://www.imdb.com/title/tt0019993/,,5905065.01754,152478204.678,32.1617303824,90.25,42.6940451745,65.0,6.75,0,1,0,0
33,tt0019993,The Hollywood Revue of 1929,1929-11-23 00:00:00,Charles Reisner,Conrad Nagel,USA,English,,130.0,1929,7.7,1431,,2.0,40.0,5.4,5.0,3.0,16.0,2.9,204.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,/wiki/The_Hollywood_Revue_of_1929,http://www.imdb.com/title/tt0019993/,,5905065.01754,152478204.678,32.1617303824,90.25,42.6940451745,65.0,6.75,0,1,0,0
34,tt0019993,The Hollywood Revue of 1929,1929-11-23 00:00:00,Charles Reisner,Jack Benny,USA,English,,130.0,1929,7.7,1431,,2.0,40.0,5.4,5.0,3.0,16.0,2.9,204.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,/wiki/The_Hollywood_Revue_of_1929,http://www.imdb.com/title/tt0019993/,,5905065.01754,152478204.678,32.1617303824,90.25,42.6940451745,65.0,6.75,0,1,0,0
35,tt0019993,The Hollywood Revue of 1929,1929-11-23 00:00:00,Charles Reisner,Norma Shearer,USA,English,,130.0,1929,7.7,1431,,2.0,40.0,5.4,5.0,3.0,16.0,2.9,204.0,0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,/wiki/The_Hollywood_Revue_of_1929,http://www.imdb.com/title/tt0019993/,,5905065.01754,152478204.678,32.1617303824,90.25,42.6940451745,65.0,6.75,0,1,0,0
36,tt0020018,In Old Arizona,1929-01-20 00:00:00,Irving Cummings,Edmund Lowe,USA,"English, Spanish, Italian",PASSED,95.0,1928,5.8,586,,5.0,56.0,5.4,9.0,4.0,45.0,3.1,337.0,0,1,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,/wiki/In_Old_Arizona,http://www.imdb.com/title/tt0020018/,,,73615756.4127,39.3119251807,119.0,40.2792607803,82.0,6.0,0,1,1,0
37,tt0020018,In Old Arizona,1929-01-20 00:00:00,Irving Cummings,Warner Baxter,USA,"English, Spanish, Italian",PASSED,95.0,1928,5.8,586,,5.0,56.0,5.4,9.0,4.0,45.0,3.1,337.0,0,1,0,0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,True,False,False,/wiki/In_Old_Arizona,http://www.imdb.com/title/tt0020018/,,,73615756.4127,39.3119251807,119.0,40.2792607803,82.0,6.0,0,1,1,0
38,tt0020112,The Love Parade,1929-08-20 00:00:00,Ernst Lubitsch,Jeanette MacDonald,USA,"English, French",APPROVED,107.0,1929,7.3,1298,,6.0,100.0,7.9,6.0,0.0,79.0,3.8,401.0,6,0,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,/wiki/The_Love_Parade,http://www.imdb.com/title/tt0020112/,,,1552505356.73,35.9090101504,47.0,37.5550992471,76.0,7.45,2,0,3,0
39,tt0020112,The Love Parade,1929-08-20 00:00:00,Ernst Lubitsch,Maurice Chevalier,USA,"English, French",APPROVED,107.0,1929,7.3,1298,,6.0,100.0,7.9,6.0,0.0,79.0,3.8,401.0,6,0,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,/wiki/The_Love_Parade,http://www.imdb.com/title/tt0020112/,,,1552505356.73,35.9090101504,47.0,37.5550992471,76.0,7.45,2,0,3,0
40,tt0020488,Their Own Desire,1929-12-27 00:00:00,E. Mason Hopper,Robert Montgomery,USA,English,APPROVED,65.0,1929,6.0,343,,,,,,,46.0,3.1,66.0,0,0,0,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,/wiki/Their_Own_Desire,http://www.imdb.com/title/tt0020488/,,,225944976.023,39.2205390467,92.75,44.0547570157,77.0,6.1,3,1,0,0
